,Subscription Premium Cancel,difference of days,difference of months,month had passed,10 days had passed
6,0,42,1,1,1
76,0,2,0,0,0
128,0,57,1,1,1
141,0,0,0,0,0
172,1,0,0,0,0
185,0,15,0,0,1
224,0,61,2,1,1
248,0,2,0,0,0
403,0,39,1,1,1
415,0,31,1,1,1
421,0,14,0,0,1
461,0,77,2,1,1
467,0,22,0,0,1
501,1,1,0,0,0
511,0,2,0,0,0
578,0,0,0,0,0
715,0,14,0,0,1
759,1,0,0,0,0
772,0,34,1,1,1
842,1,17,0,0,1
862,0,0,0,0,0
900,0,86,2,1,1
924,0,8,0,0,0
993,1,0,0,0,0
1035,1,0,0,0,0
1070,0,28,0,0,1
1080,0,30,1,1,1
1085,0,28,0,0,1
1155,0,0,0,0,0
1232,0,71,2,1,1
1326,0,44,1,1,1
1345,0,43,1,1,1
1413,0,8,0,0,0
1448,0,0,0,0,0
1510,0,7,0,0,0
1562,0,0,0,0,0
1589,1,0,0,0,0
1619,0,1,0,0,0
1625,0,18,0,0,1
1661,0,50,1,1,1
1711,0,57,1,1,1
1719,0,16,0,0,1
1726,0,26,0,0,1
1752,0,5,0,0,0
1764,0,7,0,0,0
1800,0,51,1,1,1
1821,0,1,0,0,0
1844,0,4,0,0,0
1868,0,23,0,0,1
1885,0,80,2,1,1
1974,1,22,0,0,1
2004,0,4,0,0,0
2157,0,31,1,1,1
2180,0,31,1,1,1
2215,0,17,0,0,1
2236,0,50,1,1,1
2240,0,47,1,1,1
2252,0,12,0,0,1
2263,0,3,0,0,0
2273,0,86,2,1,1
2277,0,14,0,0,1
2313,1,0,0,0,0
2333,0,1,0,0,0
2431,0,19,0,0,1
2463,0,15,0,0,1
2479,0,6,0,0,0
2487,0,0,0,0,0
2591,1,0,0,0,0
2612,0,31,1,1,1
2623,1,24,0,0,1
2642,1,1,0,0,0
2660,0,87,2,1,1
2682,0,8,0,0,0
2706,0,19,0,0,1
2760,0,3,0,0,0
2827,0,5,0,0,0
2843,0,66,2,1,1
2851,0,2,0,0,0
2870,1,0,0,0,0
2883,0,36,1,1,1
2912,0,2,0,0,0
3069,0,0,0,0,0
3098,0,55,1,1,1
3109,0,23,0,0,1
3146,0,48,1,1,1
3186,0,26,0,0,1
3190,1,0,0,0,0
3227,0,0,0,0,0
3242,1,2,0,0,0
3280,0,59,1,1,1
3325,0,11,0,0,1
3356,0,31,1,1,1
3362,0,20,0,0,1
3373,0,14,0,0,1
3387,0,19,0,0,1
3397,0,60,2,1,1
3404,0,90,3,1,1
3413,0,0,0,0,0
3433,0,15,0,0,1
3446,0,0,0,0,0
3654,0,24,0,0,1
3661,1,24,0,0,1
3692,0,59,1,1,1
3730,0,62,2,1,1
3744,0,0,0,0,0
3814,0,9,0,0,0
3821,0,13,0,0,1
3842,1,22,0,0,1
3852,1,0,0,0,0
3873,0,3,0,0,0
3901,0,0,0,0,0
3919,0,66,2,1,1
