,userid,user_state,event_name,event_attributes,event_created_date,event_platform,device_manufacture,device_model,Subscription Premium Cancel,Add Payment Method Success,Subscription Premium,Account History Transaction Details,Add Vehicle Success,Subscription Premium Renew,Sign Up Success,Order,Chat Conversation Opened,Add Vehicle Break,Chat Conversation Started,Email Confirmation Success,Add Payment Method Failed,Account Setup Skip,Calculator View,Wallet Opened,Account Setup Profile Skip,Sign Out,Transaction Refund,Calculator Used,Add Vehicle Failed,Sign Up Error,Reset Password Set,last date Subscription Premium Cancel,last date Subscription Premium Renew,Membership Ren,2 days had not passedSubscription Premium Renew,Membership Sub,last date Subscription Premium,2 days had not passedSubscription Premium,last date Order,delta monthsOrder
0,0006869712ec9841dc36234bce245203,16,Add Payment Method Success,"{'Payment Method': 'Debit', 'Tokenized Pay': ''}",2022-01-19 18:47:45,0,11,59,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-02-19 01:12:16,2,0,1,2022-01-19 18:48:01,0,2022-04-16 20:50:39,0
6,00596aa4edee32815aaf4aad659c484e,3,Sign Up Success,{'Method': 'Google'},2022-02-16 19:16:54,0,11,101,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-02-16 19:38:52,0,2022-03-05 14:45:29,1
14,007b54670d72df309afd87befcbb63db,3,Sign Up Success,{'Method': 'Google'},2022-04-05 20:52:23,1,0,142,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-04-05 22:00:10,0,2022-04-16 20:50:39,0
24,0136a8eeca5d16ac1a521dd0e27ecec0,30,Email Confirmation Success,{'Required': 'true'},2022-01-18 23:51:10,1,0,135,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-03-18 01:12:25,1,0,1,2022-01-18 23:56:30,0,2022-04-16 20:50:39,0
31,01529f53aaba5b512168d432d5650556,11,Sign Up Success,{'Method': 'Google'},2022-03-17 05:04:50,0,10,153,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-04-09 21:51:10,0,2022-04-16 20:50:39,0
38,017f4557810b3ba165d2959c17b916b6,30,Sign Up Success,{'Method': 'Email'},2022-01-17 00:00:47,1,0,142,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-02-16 01:13:23,2,0,1,2022-01-17 00:04:58,0,2022-04-16 20:50:39,0
57,02697c4704fe66dad2b28c0e14499911,3,Sign Up Success,{'Method': 'Google'},2022-01-18 07:48:19,0,10,159,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-02-17 01:02:29,2,0,1,2022-01-18 07:53:40,0,2022-04-16 20:50:39,0
63,02f9d89fb24fad4a173477d2e85e120d,3,Account Setup Skip,{},2022-02-02 16:56:18,1,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-04-16 20:50:39,0
64,03e0c91e1163e8b80e74e586a3e666d6,16,Sign Up Success,{'Method': 'Email'},2022-02-21 21:30:43,1,0,135,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2022-02-24 19:45:02,2022-04-16 20:50:39,0,1,1,2022-02-21 21:40:01,0,2022-04-16 20:50:39,-1
76,0424df1cbc0b11f32e626f43fc176a4d,8,Account History Transaction Details,"{'Navigated From': 'Account History', 'Status': 'Paid', 'Type': 'Pro Plan Subscription'}",2022-01-20 21:34:04,0,11,51,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-04-14 09:23:45,0
127,0448fc758d8b9a9277ff2155fe5381a5,24,Email Confirmation Success,{},2022-01-20 23:27:34,0,11,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-04-16 20:50:39,0
128,047136447917f8b30537738e488e0461,3,Sign Up Success,{'Method': 'Email'},2022-02-12 21:29:41,1,0,142,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-12 01:14:22,1,0,1,2022-02-12 21:33:28,0,2022-02-18 14:44:16,1
141,04918002474136f1c70f61859c47dbb3,8,Sign Up Success,{'Method': 'Email'},2022-03-05 21:42:45,1,0,128,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-05 21:53:43,0,2022-04-16 08:24:15,0
152,04eb48638351418661f818b4003ac039,3,Sign Up Success,{'Method': 'Google'},2022-03-19 01:20:34,1,0,141,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-19 01:29:05,0,2022-04-16 20:50:39,0
165,051a5f8bce75a601be987980a09d4187,32,Sign Up Success,{'Method': 'Google'},2022-04-01 19:17:30,1,0,143,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2022-04-06 10:12:37,2022-04-16 20:50:39,0,1,1,2022-04-01 19:19:29,0,2022-04-16 20:50:39,-1
172,05630c0e889fe7371fc74d7ae01f491f,8,Sign Up Success,{'Method': 'Apple'},2022-03-12 23:48:01,1,0,140,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-03-19 18:16:37,2022-04-16 20:50:39,0,1,1,2022-03-12 23:49:53,0,2022-03-27 08:22:05,0
185,05cbbaefe73d4745ce2f314f1fff3d66,3,Sign Up Success,{'Method': 'Google'},2022-03-26 00:46:06,0,11,89,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-04-01 10:36:17,0
190,060153cf7a5844d9aed735d408b35f97,30,Subscription Premium Renew,"{'Start Date': '2022-02-12', 'Renewal Date': '2023-02-12', 'Membership Type': 'Yearly'}",2022-02-11 01:15:32,1,0,143,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2022-02-11 15:06:11,2022-02-11 01:15:32,2,1,0,2022-04-16 20:50:39,1,2022-04-16 20:50:39,-1
196,06a9a92ef0a123b93e3410d8a57d5b6c,12,Sign Up Success,{'Method': 'Google'},2022-03-24 17:55:40,0,10,157,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-24 18:01:57,0,2022-04-16 20:50:39,0
201,06e3b977d1d42365af2b77e958cf72b5,32,Sign Up Success,{'Method': 'Apple'},2022-03-26 11:18:11,1,0,133,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-26 11:20:07,0,2022-04-16 20:50:39,0
206,078ae59f1ae79df514e846e5e51eca8b,3,Sign Up Success,{'Method': 'Google'},2022-03-08 18:57:36,1,0,135,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2022-04-09 13:56:16,2022-04-16 20:50:39,0,1,1,2022-03-08 19:10:02,0,2022-04-16 20:50:39,-1
224,07960d9a85ff07a7c38edb8223d1abe6,3,Sign Up Success,{'Method': 'Email'},2022-02-05 16:47:40,1,0,143,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-02-14 14:30:59,2
248,07a0d0ab07446da83579be3462bf081e,30,Sign Up Success,{'Method': 'Email'},2022-01-18 08:30:14,0,11,75,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2022-04-16 20:50:39,2022-02-18 01:01:15,2,0,1,2022-01-18 09:52:19,0,2022-04-14 06:20:34,0
388,07e51f5e3fdde72e8e84978ac7179c16,32,Sign Up Success,{'Method': 'Apple'},2022-04-14 21:43:26,1,0,134,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-04-14 21:46:47,0,2022-04-16 20:50:39,0
403,07ed5d52c02f7f9a2284b1483dc07bd6,3,Add Vehicle Success,"{'Make': 'Toyota', 'Model': '4Runner', 'Color': 'Black', 'Year': '2019', 'Temporary': 'false', 'Start Date': '', 'End Date': '', 'Rental State': ''}",2022-03-01 18:25:21,0,11,78,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-01 18:27:06,0,2022-03-08 11:29:20,1
415,080510570dc8ad8f5d16ea37a93f26e1,30,Sign Up Success,{'Method': 'Facebook'},2022-03-14 21:20:06,1,0,146,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-03-16 05:44:09,1
421,0863b355ac677a9b85ce5984bf876dc5,3,Sign Up Success,{'Method': 'Apple'},2022-03-27 19:17:23,1,0,133,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-27 19:22:27,0,2022-04-02 11:26:40,0
433,0871c09afb84920b8bfd27b3c328c86a,8,Sign Up Success,{'Method': 'Email'},2022-02-18 17:50:21,1,0,144,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,2022-02-18 19:05:41,2022-04-16 20:50:39,0,1,1,2022-02-18 17:59:22,1,2022-04-16 20:50:39,-1
460,08a7303ab016a7c191c9de4f5620ca32,25,Subscription Premium Renew,"{'Start Date': '2022-02-05', 'Renewal Date': '2023-02-05', 'Membership Type': 'Yearly'}",2022-02-04 01:03:36,2,13,168,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-02-04 01:03:36,2,0,0,2022-04-16 20:50:39,1,2022-04-16 20:50:39,0
461,08d5f68b8484239c70c9a8683fceef8d,30,Order,{'Premium Membership': 'True'},2022-01-19 06:47:44,2,13,168,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-02-04 01:03:36,2,0,0,2022-04-16 20:50:39,1,2022-01-29 07:13:30,2
466,09166ef5a64d7fe04888c871c9e18fb0,3,Sign Out,{'Type': 'Manual'},2022-03-14 20:27:45,0,11,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-04-16 20:50:39,0
467,0997327eeccc4fcf42b3d0c90b2000f3,3,Sign Up Success,{'Method': 'Apple'},2022-03-01 04:49:08,1,0,144,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,0,2022-04-16 20:50:39,1,2022-03-25 10:48:22,0
494,09aa83bbba4d22264215696aa1b169ac,11,Sign Up Success,{'Method': 'Google'},2022-03-06 23:49:28,1,0,142,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-03-07 00:28:07,0,2022-04-16 20:50:39,0
501,0a4bf9a1acba481b13330ebae980efc7,3,Sign Up Success,{'Method': 'Apple'},2022-02-19 21:23:08,1,0,143,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2022-02-24 12:59:50,2022-04-16 20:50:39,0,1,1,2022-02-19 21:25:46,0,2022-02-23 15:20:08,0
511,0ac4c049747e23d5627e64345bc1ece7,8,Sign Up Success,{'Method': 'Google'},2022-02-08 14:46:59,1,0,142,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-16 20:50:39,2022-04-16 20:50:39,0,1,1,2022-02-08 14:49:44,0,2022-04-14 09:23:45,0
566,0af7f97bf9253358db674384908d7bf4,26,Sign Up Success,{'Method': 'Apple'},2022-03-07 01:37:59,1,0,127,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022-04-16 20:50:39,2022-04-06 01:16:09,1,0,1,2022-03-07 01:45:13,0,2022-04-16 20:50:39,0
