,Subscription Premium Cancel,time,month,quarter,day_week
0,0,18,1,1,2
1,0,18,1,1,2
2,0,18,1,1,2
3,0,18,1,1,2
4,0,18,1,1,2
5,0,1,2,1,5
6,0,23,2,1,6
7,0,12,1,1,2
8,0,2,2,1,5
9,0,18,3,1,1
10,0,18,3,1,1
11,0,18,3,1,1
12,0,18,3,1,1
13,0,18,3,1,1
14,0,19,2,1,2
15,0,19,2,1,2
16,0,19,2,1,2
17,0,19,2,1,2
18,0,19,2,1,2
19,0,19,3,1,1
20,0,19,3,1,1
21,0,14,3,1,5
22,0,13,3,1,3
23,0,0,3,1,3
24,0,15,3,1,0
25,0,20,4,2,1
26,0,20,4,2,1
27,0,21,4,2,1
28,0,22,4,2,1
29,0,22,4,2,1
30,0,22,4,2,1
31,0,22,4,2,1
32,0,22,4,2,1
33,0,22,4,2,1
34,0,14,4,2,2
35,0,23,2,1,3
36,0,23,2,1,3
37,0,23,2,1,5
38,0,23,2,1,5
39,0,23,2,1,5
40,0,0,2,1,6
41,0,0,2,1,6
42,0,17,1,1,6
43,0,17,1,1,6
44,0,17,1,1,6
45,0,13,1,1,2
46,0,2,2,1,6
47,0,19,3,1,6
48,0,19,3,1,6
49,0,19,3,1,6
50,0,19,3,1,6
51,0,19,3,1,6
52,0,19,3,1,6
53,0,20,3,1,6
54,0,23,2,1,0
55,0,23,1,1,1
56,0,23,1,1,1
57,0,23,1,1,1
58,0,23,1,1,1
59,0,23,1,1,1
60,0,1,2,1,4
61,0,1,3,1,4
62,0,16,2,1,0
63,0,16,2,1,0
64,0,17,2,1,0
65,0,17,2,1,0
66,0,17,2,1,0
67,0,17,2,1,0
68,0,16,2,1,1
69,0,5,3,1,3
70,0,5,3,1,3
71,0,1,3,1,0
72,0,21,4,2,5
73,0,21,4,2,5
74,0,18,4,2,2
75,0,18,4,2,2
76,0,22,4,2,2
77,0,16,3,1,2
78,0,16,3,1,2
79,0,16,3,1,2
80,0,16,3,1,2
81,0,0,1,1,0
82,0,0,1,1,0
83,0,0,1,1,0
84,0,0,1,1,0
85,0,0,1,1,0
86,0,0,1,1,0
87,0,0,1,1,0
88,0,0,1,1,0
89,0,0,1,1,0
90,0,0,1,1,0
91,0,0,1,1,0
92,0,0,1,1,0
93,0,0,1,1,0
94,0,0,1,1,0
95,0,0,1,1,0
96,0,0,1,1,0
97,0,23,1,1,0
98,0,18,1,1,1
99,0,1,2,1,2
100,0,2,4,2,4
101,0,20,3,1,0
102,0,20,3,1,0
103,0,21,3,1,0
104,0,16,3,1,3
105,0,0,1,1,3
106,0,0,1,1,3
107,0,23,4,2,4
108,0,20,1,1,1
109,0,0,2,1,6
110,0,0,2,1,6
111,0,20,4,2,1
112,0,20,4,2,1
113,0,20,4,2,1
114,0,20,4,2,1
115,0,20,4,2,1
116,0,16,4,2,2
117,0,7,1,1,1
118,0,7,1,1,1
119,0,7,1,1,1
120,0,7,1,1,1
121,0,7,1,1,1
122,0,1,2,1,3
123,0,1,2,1,0
124,0,0,4,2,6
125,0,0,4,2,6
126,0,15,2,1,5
127,0,15,2,1,5
128,0,15,2,1,5
129,0,18,2,1,6
130,0,21,2,1,6
131,0,2,2,1,0
132,0,2,2,1,0
133,0,2,2,1,0
134,0,2,2,1,0
135,0,2,2,1,0
136,0,2,2,1,0
137,0,2,2,1,0
138,0,2,2,1,0
139,0,18,2,1,0
140,0,18,2,1,0
141,0,21,2,1,0
142,0,23,2,1,3
143,0,23,2,1,3
144,0,0,2,1,5
145,0,0,2,1,5
146,0,0,2,1,5
147,0,23,2,1,6
148,0,23,2,1,6
149,0,23,2,1,6
150,0,0,2,1,0
151,0,0,2,1,0
152,0,0,2,1,0
153,0,0,2,1,0
154,0,13,3,1,6
155,0,13,3,1,6
156,0,13,3,1,6
157,0,13,3,1,6
158,0,17,3,1,4
159,0,16,3,1,0
160,0,15,3,1,1
161,0,1,3,1,2
