,time,month,quarter,day_week
0,18,1,1,2
1,18,1,1,2
2,18,1,1,2
3,18,1,1,2
4,18,1,1,2
5,1,2,1,5
6,23,2,1,6
7,12,1,1,2
8,2,2,1,5
9,18,3,1,1
10,18,3,1,1
11,18,3,1,1
12,18,3,1,1
13,18,3,1,1
14,19,2,1,2
15,19,2,1,2
16,19,2,1,2
17,19,2,1,2
18,19,2,1,2
19,19,3,1,1
20,19,3,1,1
21,14,3,1,5
22,13,3,1,3
23,0,3,1,3
24,15,3,1,0
25,20,4,2,1
26,20,4,2,1
27,21,4,2,1
28,22,4,2,1
29,22,4,2,1
30,22,4,2,1
31,22,4,2,1
32,22,4,2,1
33,22,4,2,1
34,14,4,2,2
35,23,2,1,3
36,23,2,1,3
37,23,2,1,5
38,23,2,1,5
39,23,2,1,5
40,0,2,1,6
41,0,2,1,6
42,17,1,1,6
43,17,1,1,6
44,17,1,1,6
45,13,1,1,2
46,2,2,1,6
47,19,3,1,6
48,19,3,1,6
49,19,3,1,6
50,19,3,1,6
51,19,3,1,6
52,19,3,1,6
53,20,3,1,6
54,23,2,1,0
55,23,1,1,1
56,23,1,1,1
57,23,1,1,1
58,23,1,1,1
59,23,1,1,1
60,1,2,1,4
61,1,3,1,4
62,16,2,1,0
63,16,2,1,0
64,17,2,1,0
65,17,2,1,0
66,17,2,1,0
67,17,2,1,0
68,16,2,1,1
69,5,3,1,3
70,5,3,1,3
71,1,3,1,0
72,21,4,2,5
73,21,4,2,5
74,18,4,2,2
75,18,4,2,2
76,22,4,2,2
77,16,3,1,2
78,16,3,1,2
79,16,3,1,2
80,16,3,1,2
81,0,1,1,0
82,0,1,1,0
83,0,1,1,0
84,0,1,1,0
85,0,1,1,0
86,0,1,1,0
87,0,1,1,0
88,0,1,1,0
89,0,1,1,0
90,0,1,1,0
91,0,1,1,0
92,0,1,1,0
93,0,1,1,0
94,0,1,1,0
95,0,1,1,0
96,0,1,1,0
97,23,1,1,0
98,18,1,1,1
99,1,2,1,2
