,user_state,Add Payment Method Success,Account History Transaction Details,Add Vehicle Success,Account Setup Profile Skip,Calculator View,Order,Sign Out,Chat Conversation Opened,Add Vehicle Break,Chat Conversation Started,Wallet Opened,Email Confirmation Success,Add Payment Method Failed,Account Setup Skip,Calculator Used,Sign Up Error,Transaction Refund,Add Vehicle Failed,Reset Password Set,cancel_percentage
0,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,AL,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0.5
2,AR,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0.6545454545454545
3,AZ,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0.03829787234042553
4,CA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.2803987481163788
5,CO,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0.21568627450980393
6,CT,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0.0
7,DC,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0.46153846153846156
8,DE,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0.04807692307692308
9,FL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.21334586466165414
10,GA,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0.21428571428571427
11,HI,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0
12,IA,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0.18518518518518517
13,ID,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
14,IL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0.41701073492981006
15,IN,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0.5825242718446602
16,KS,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
17,KY,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0.4782608695652174
18,LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,MA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.36607142857142855
20,MD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.23045267489711935
21,ME,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0.0
22,MI,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0.0
23,MN,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.0
24,MO,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0.0
25,MS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,MT,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.0
27,NC,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0.2079207920792079
28,NE,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0
29,NH,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0.0
30,NJ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0.12284069097888675
31,NM,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0.0
32,NV,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0.0
33,NY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.08082901554404145
34,OH,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0.0
35,OK,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.25196850393700787
36,OR,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0.0
37,PA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.211864406779661
38,RI,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
39,SC,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0.0
40,SD,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,TN,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.7142857142857143
42,TX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.15439205172685697
43,UT,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0.46153846153846156
44,VA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0.20217729393468117
45,VT,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
46,WA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
47,WI,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0.034782608695652174
48,WV,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0.5161290322580645
