,userid,event_name,event_attributes,event_created_date,Subscription Premium Cancel,last date Subscription Premium Cancel,last date Subscription Premium Renew,Membership YM,2 days had not passedSubscription Premium Renew
5,0006869712ec9841dc36234bce245203,Subscription Premium Renew,"{'Start Date': '2022-02-20', 'Renewal Date': '2023-02-20', 'Membership Type': 'Yearly'}",2022-02-19 01:12:16,0,2022-04-16 20:50:39,2022-02-19 01:12:16,1,0
29,0136a8eeca5d16ac1a521dd0e27ecec0,Subscription Premium Renew,"{'Start Date': '2022-02-19', 'Renewal Date': '2022-03-19', 'Membership Type': 'Monthly'}",2022-02-18 01:07:40,0,2022-04-16 20:50:39,2022-03-18 01:12:25,0,0
30,0136a8eeca5d16ac1a521dd0e27ecec0,Subscription Premium Renew,"{'Start Date': '2022-03-19', 'Renewal Date': '2022-04-19', 'Membership Type': 'Monthly'}",2022-03-18 01:12:25,0,2022-04-16 20:50:39,2022-03-18 01:12:25,0,0
56,017f4557810b3ba165d2959c17b916b6,Subscription Premium Renew,"{'Start Date': '2022-02-17', 'Renewal Date': '2023-02-17', 'Membership Type': 'Yearly'}",2022-02-16 01:13:23,0,2022-04-16 20:50:39,2022-02-16 01:13:23,1,0
62,02697c4704fe66dad2b28c0e14499911,Subscription Premium Renew,"{'Start Date': '2022-02-18', 'Renewal Date': '2023-02-18', 'Membership Type': 'Yearly'}",2022-02-17 01:02:29,0,2022-04-16 20:50:39,2022-02-17 01:02:29,1,0
137,047136447917f8b30537738e488e0461,Subscription Premium Renew,"{'Start Date': '2022-03-13', 'Renewal Date': '2022-04-13', 'Membership Type': 'Monthly'}",2022-03-12 01:12:35,0,2022-04-16 20:50:39,2022-04-12 01:14:22,0,0
140,047136447917f8b30537738e488e0461,Subscription Premium Renew,"{'Start Date': '2022-04-13', 'Renewal Date': '2022-05-13', 'Membership Type': 'Monthly'}",2022-04-12 01:14:22,0,2022-04-16 20:50:39,2022-04-12 01:14:22,0,0
190,060153cf7a5844d9aed735d408b35f97,Subscription Premium Renew,"{'Start Date': '2022-02-12', 'Renewal Date': '2023-02-12', 'Membership Type': 'Yearly'}",2022-02-11 01:15:32,1,2022-02-11 15:06:11,2022-02-11 01:15:32,1,1
297,07a0d0ab07446da83579be3462bf081e,Subscription Premium Renew,"{'Start Date': '2022-02-19', 'Renewal Date': '2023-02-19', 'Membership Type': 'Yearly'}",2022-02-18 01:01:15,0,2022-04-16 20:50:39,2022-02-18 01:01:15,1,0
460,08a7303ab016a7c191c9de4f5620ca32,Subscription Premium Renew,"{'Start Date': '2022-02-05', 'Renewal Date': '2023-02-05', 'Membership Type': 'Yearly'}",2022-02-04 01:03:36,0,2022-04-16 20:50:39,2022-02-04 01:03:36,1,0
465,08d5f68b8484239c70c9a8683fceef8d,Subscription Premium Renew,"{'Start Date': '2022-02-05', 'Renewal Date': '2023-02-05', 'Membership Type': 'Yearly'}",2022-02-04 01:03:36,0,2022-04-16 20:50:39,2022-02-04 01:03:36,1,0
576,0af7f97bf9253358db674384908d7bf4,Subscription Premium Renew,"{'Start Date': '2022-04-07', 'Renewal Date': '2022-05-07', 'Membership Type': 'Monthly'}",2022-04-06 01:16:09,0,2022-04-16 20:50:39,2022-04-06 01:16:09,0,0
733,0b55c6c8ce2743c5581ad07681cc812b,Subscription Premium Renew,"{'Start Date': '2022-03-14', 'Renewal Date': '2023-03-14', 'Membership Type': 'Yearly'}",2022-03-13 01:51:17,0,2022-04-16 20:50:39,2022-03-13 01:51:17,1,0
793,0be441fb8acf6a9dd45d4d2444e62deb,Subscription Premium Renew,"{'Start Date': '2022-03-18', 'Renewal Date': '2022-04-18', 'Membership Type': 'Monthly'}",2022-03-17 01:12:58,0,2022-04-16 20:50:39,2022-03-17 01:12:58,0,0
923,0e440655eed83610e0076ad7faa3a3f0,Subscription Premium Renew,"{'Start Date': '2022-02-19', 'Renewal Date': '2023-02-19', 'Membership Type': 'Yearly'}",2022-02-18 01:12:56,0,2022-04-16 20:50:39,2022-02-18 01:12:56,1,0
