,userid,event_name,event_attributes,event_created_date,Subscription Premium Cancel,last date Subscription Premium Cancel,Membership YM,last date Subscription Premium,2 days had not passedSubscription Premium,last date Sign Up Success,2 days had not passedSign Up Success
1,0006869712ec9841dc36234bce245203,Subscription Premium,"{'Start Date': '2022-01-19', 'Renewal Date': '2022-02-20', 'Membership Type': 'Monthly'}",2022-01-19 18:48:01,0,2022-04-16 20:50:39,0,2022-01-19 18:48:01,0,2022-04-16 20:50:39,1
10,00596aa4edee32815aaf4aad659c484e,Subscription Premium,"{'Start Date': '2022-02-16', 'Renewal Date': '2022-03-17', 'Membership Type': 'Monthly'}",2022-02-16 19:38:52,0,2022-04-16 20:50:39,0,2022-02-16 19:38:52,0,2022-02-16 19:16:54,0
17,007b54670d72df309afd87befcbb63db,Subscription Premium,"{'Start Date': '2022-04-05', 'Renewal Date': '2022-05-06', 'Membership Type': 'Monthly'}",2022-04-05 22:00:10,0,2022-04-16 20:50:39,0,2022-04-05 22:00:10,0,2022-04-05 20:52:23,0
28,0136a8eeca5d16ac1a521dd0e27ecec0,Subscription Premium,"{'Start Date': '2022-01-18', 'Renewal Date': '2022-02-19', 'Membership Type': 'Monthly'}",2022-01-18 23:56:30,0,2022-04-16 20:50:39,0,2022-01-18 23:56:30,0,2022-04-16 20:50:39,1
35,01529f53aaba5b512168d432d5650556,Subscription Premium,"{'Start Date': '2022-04-09', 'Renewal Date': '2022-05-10', 'Membership Type': 'Monthly'}",2022-04-09 21:51:10,0,2022-04-16 20:50:39,0,2022-04-09 21:51:10,0,2022-03-17 05:04:50,0
42,017f4557810b3ba165d2959c17b916b6,Subscription Premium,"{'Start Date': '2022-01-16', 'Renewal Date': '2022-02-17', 'Membership Type': 'Monthly'}",2022-01-17 00:04:58,0,2022-04-16 20:50:39,0,2022-01-17 00:04:58,0,2022-01-17 00:00:47,0
60,02697c4704fe66dad2b28c0e14499911,Subscription Premium,"{'Start Date': '2022-01-17', 'Renewal Date': '2022-02-18', 'Membership Type': 'Monthly'}",2022-01-18 07:53:40,0,2022-04-16 20:50:39,0,2022-01-18 07:53:40,0,2022-01-18 07:48:19,0
68,03e0c91e1163e8b80e74e586a3e666d6,Subscription Premium,"{'Start Date': '2022-02-21', 'Renewal Date': '2022-03-22', 'Membership Type': 'Monthly'}",2022-02-21 21:40:01,1,2022-02-24 19:45:02,0,2022-02-21 21:40:01,0,2022-02-21 21:30:43,0
132,047136447917f8b30537738e488e0461,Subscription Premium,"{'Start Date': '2022-02-12', 'Renewal Date': '2022-03-13', 'Membership Type': 'Monthly'}",2022-02-12 21:33:28,0,2022-04-16 20:50:39,0,2022-02-12 21:33:28,0,2022-02-12 21:29:41,0
145,04918002474136f1c70f61859c47dbb3,Subscription Premium,"{'Start Date': '2022-03-05', 'Renewal Date': '2022-04-06', 'Membership Type': 'Monthly'}",2022-03-05 21:53:43,0,2022-04-16 20:50:39,0,2022-03-05 21:53:43,0,2022-03-05 21:42:45,0
