,user_state,event_platform,device_manufacture,device_model,Subscription Premium Cancel
0,16,0,11,52,0
1,16,0,11,52,0
2,16,0,11,52,0
3,16,0,11,52,0
4,16,0,11,52,0
5,16,0,11,52,0
6,3,0,11,90,0
7,3,0,11,90,0
8,3,0,11,90,0
9,3,0,11,90,0
10,3,0,11,90,0
11,3,0,11,90,0
12,3,0,11,90,0
13,3,0,11,90,0
14,3,1,0,128,0
15,3,1,0,128,0
16,3,1,0,128,0
17,3,1,0,128,0
18,3,1,0,128,0
19,3,1,0,128,0
20,3,1,0,128,0
21,3,1,0,128,0
22,3,1,0,128,0
23,3,1,0,128,0
24,30,1,0,121,0
25,30,1,0,121,0
26,30,1,0,121,0
27,30,1,0,121,0
28,30,1,0,121,0
29,30,1,0,121,0
30,30,1,0,121,0
31,11,0,10,138,0
32,11,0,10,138,0
33,11,0,10,138,0
34,11,0,10,138,0
35,11,0,10,138,0
36,11,0,10,138,0
37,11,0,10,138,0
38,30,1,0,128,0
39,30,1,0,128,0
40,30,1,0,128,0
41,30,1,0,128,0
42,30,1,0,128,0
43,30,1,0,128,0
44,30,1,0,128,0
45,30,1,0,128,0
46,30,1,0,128,0
47,30,1,0,128,0
48,30,1,0,128,0
49,30,1,0,128,0
50,30,1,0,128,0
51,30,1,0,128,0
52,30,1,0,128,0
53,30,1,0,128,0
54,30,1,0,128,0
55,30,1,0,128,0
56,30,1,0,128,0
57,3,0,10,144,0
58,3,0,10,144,0
59,3,0,10,144,0
60,3,0,10,144,0
61,3,0,10,144,0
62,3,0,10,144,0
63,16,1,0,121,1
64,16,1,0,121,1
65,16,1,0,121,1
66,16,1,0,121,1
67,16,1,0,121,1
68,16,1,0,121,1
69,16,1,0,121,1
70,16,1,0,121,1
71,16,1,0,121,1
72,16,1,0,121,1
73,16,1,0,121,1
74,16,1,0,121,1
75,3,1,0,128,0
76,3,1,0,128,0
77,3,1,0,128,0
78,3,1,0,128,0
79,3,1,0,128,0
80,3,1,0,128,0
81,3,1,0,128,0
82,3,1,0,128,0
83,3,1,0,128,0
84,3,1,0,128,0
85,3,1,0,128,0
